Category ID,Category Name,Category Label,osm_class,osm_type
4d4b7104d754a06370d81259,Arts and Entertainment,Arts and Entertainment,nf_fsq,nf_fsq
4bf58dd8d48988d182941735,Amusement Park,Arts and Entertainment > Amusement Park,tourism,theme_park
5109983191d435c0d71c2bb1,Attraction,Arts and Entertainment > Amusement Park > Attraction,tourism,attraction
4fceea171983d5d06c3e9823,Aquarium,Arts and Entertainment > Aquarium,tourism,aquarium
4bf58dd8d48988d1e1931735,Arcade,Arts and Entertainment > Arcade,leisure,amusement_arcade
4bf58dd8d48988d1e2931735,Art Gallery,Arts and Entertainment > Art Gallery,tourism,gallery
63be6904847c3692a84b9b20,Bingo Center,Arts and Entertainment > Bingo Center,amenity,gambling
4bf58dd8d48988d1e4931735,Bowling Alley,Arts and Entertainment > Bowling Alley,leisure,bowling_alley
63be6904847c3692a84b9b21,Carnival,Arts and Entertainment > Carnival,leisure,carnival
4bf58dd8d48988d17c941735,Casino,Arts and Entertainment > Casino,amenity,casino
52e81612bcbc57f1066b79e7,Circus,Arts and Entertainment > Circus,amenity,circus
4bf58dd8d48988d18e941735,Comedy Club,Arts and Entertainment > Comedy Club,amenity,comedy_club
63be6904847c3692a84b9b22,Country Club,Arts and Entertainment > Country Club,club,country_club
52e81612bcbc57f1066b79ef,Country Dance Club,Arts and Entertainment > Country Dance Club,leisure,dance
63be6904847c3692a84b9b23,Dance Hall,Arts and Entertainment > Dance Hall,leisure,dance
52e81612bcbc57f1066b79e8,Disc Golf,Arts and Entertainment > Disc Golf,leisure,disc_golf_course
63be6904847c3692a84b9c03,Disc Golf Course,Arts and Entertainment > Disc Golf Course,leisure,disc_golf_course
5f2c2834b6d05514c704451e,Escape Room,Arts and Entertainment > Escape Room,leisure,escape_game
56aa371be4b08b9a8d573532,Exhibit,Arts and Entertainment > Exhibit,tourism,exhibit
4eb1daf44b900d56c88a4600,Fair,Arts and Entertainment > Fair,landuse,fairground
4bf58dd8d48988d18d941735,Gaming Cafe,Arts and Entertainment > Gaming Cafe,amenity,lan_gaming_centre
4bf58dd8d48988d1f1931735,General Entertainment,Arts and Entertainment > General Entertainment,nf_fsq,nf_fsq
52e81612bcbc57f1066b79ea,Go Kart Track,Arts and Entertainment > Go Kart Track,leisure,go_karting
4bf58dd8d48988d1f0941735,Internet Cafe,Arts and Entertainment > Internet Cafe,amenity,internet_cafe
5744ccdfe4b0c0459246b4bb,Karaoke Box,Arts and Entertainment > Karaoke Box,amenity,karaoke_box
52e81612bcbc57f1066b79e6,Laser Tag Center,Arts and Entertainment > Laser Tag Center,leisure,laser_tag
52e81612bcbc57f1066b79eb,Mini Golf Course,Arts and Entertainment > Mini Golf Course,leisure,miniature_golf
4bf58dd8d48988d17f941735,Movie Theater,Arts and Entertainment > Movie Theater,amenity,cinema
56aa371be4b08b9a8d5734de,Drive-in Theater,Arts and Entertainment > Movie Theater > Drive-in Theater,amenity,cinema
4bf58dd8d48988d17e941735,Indie Movie Theater,Arts and Entertainment > Movie Theater > Indie Movie Theater,amenity,cinema
4bf58dd8d48988d180941735,Multiplex,Arts and Entertainment > Movie Theater > Multiplex,amenity,cinema
4bf58dd8d48988d181941735,Museum,Arts and Entertainment > Museum,tourism,museum
4bf58dd8d48988d18f941735,Art Museum,Arts and Entertainment > Museum > Art Museum,tourism,museum
559acbe0498e472f1a53fa23,Erotic Museum,Arts and Entertainment > Museum > Erotic Museum,tourism,museum
4bf58dd8d48988d190941735,History Museum,Arts and Entertainment > Museum > History Museum,tourism,museum
4bf58dd8d48988d191941735,Science Museum,Arts and Entertainment > Museum > Science Museum,tourism,museum
4bf58dd8d48988d11f941735,Night Club,Arts and Entertainment > Night Club,amenity,nightclub
5744ccdfe4b0c0459246b4b8,Pachinko Parlor,Arts and Entertainment > Pachinko Parlor,amenity,gambling
63be6904847c3692a84b9b24,Party Center,Arts and Entertainment > Party Center,amenity,events_venue
4bf58dd8d48988d1f2931735,Performing Arts Venue,Arts and Entertainment > Performing Arts Venue,amenity,theatre
56aa371be4b08b9a8d5734db,Amphitheater,Arts and Entertainment > Performing Arts Venue > Amphitheater,amenity,theatre
5032792091d4c4b30a586d5c,Concert Hall,Arts and Entertainment > Performing Arts Venue > Concert Hall,amenity,music_venue
4bf58dd8d48988d135941735,Indie Theater,Arts and Entertainment > Performing Arts Venue > Indie Theater,amenity,theatre
4bf58dd8d48988d1e5931735,Music Venue,Arts and Entertainment > Performing Arts Venue > Music Venue,amenity,music_venue
4bf58dd8d48988d1e7931735,Jazz and Blues Venue,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,amenity,music_venue
4bf58dd8d48988d1e9931735,Rock Club,Arts and Entertainment > Performing Arts Venue > Music Venue > Rock Club,amenity,music_venue
4bf58dd8d48988d136941735,Opera House,Arts and Entertainment > Performing Arts Venue > Opera House,amenity,theatre
4bf58dd8d48988d137941735,Theater,Arts and Entertainment > Performing Arts Venue > Theater,amenity,theatre
4bf58dd8d48988d192941735,Planetarium,Arts and Entertainment > Planetarium,amenity,planetarium
4bf58dd8d48988d1e3931735,Pool Hall,Arts and Entertainment > Pool Hall,amenity,pool_hall
52f2ab2ebcbc57f1066b8b43,Psychic and Astrologer,Arts and Entertainment > Psychic and Astrologer,craft,psychic
507c8c4091d498d9fc8c67a9,Public Art,Arts and Entertainment > Public Art,tourism,artwork
52e81612bcbc57f1066b79ed,Outdoor Sculpture,Arts and Entertainment > Public Art > Outdoor Sculpture,tourism,artwork
52e81612bcbc57f1066b79ee,Street Art,Arts and Entertainment > Public Art > Street Art,tourism,artwork
52e81612bcbc57f1066b79e9,Roller Rink,Arts and Entertainment > Roller Rink,amenity,roller_rink
52e81612bcbc57f1066b79ec,Salsa Club,Arts and Entertainment > Salsa Club,leisure,dance
56aa371be4b08b9a8d5734f9,Samba School,Arts and Entertainment > Samba School,nf_fsq,nf_fsq
4bf58dd8d48988d184941735,Stadium,Arts and Entertainment > Stadium,leisure,stadium
4bf58dd8d48988d18c941735,Baseball Stadium,Arts and Entertainment > Stadium > Baseball Stadium,leisure,stadium
4bf58dd8d48988d18b941735,Basketball Stadium,Arts and Entertainment > Stadium > Basketball Stadium,leisure,stadium
4bf58dd8d48988d189941735,Football Stadium,Arts and Entertainment > Stadium > Football Stadium,leisure,stadium
4bf58dd8d48988d185941735,Hockey Stadium,Arts and Entertainment > Stadium > Hockey Stadium,leisure,stadium
56aa371be4b08b9a8d573556,Rugby Stadium,Arts and Entertainment > Stadium > Rugby Stadium,leisure,stadium
