Category ID,Category Name,Category Label,osm_class,osm_type,osm_tags,osm_extra_tags,mapping_confidence,mapping_source,mapping_note,evidence_match_count,evidence_top_osm_tags,evidence_previous_support_pct,evidence_final_support_pct,evidence_action,evidence_note
4d4b7104d754a06370d81259,Arts and Entertainment,Arts and Entertainment,"{'amenity', 'club', 'craft', 'landuse', 'leisure', 'shop', 'tourism'}","{'amusement_arcade', 'aquarium', 'art', 'arts_centre', 'artwork', 'attraction', 'bowling_alley', 'casino', 'cinema', 'circus', 'dance', 'dancing_school', 'disc_golf_course', 'escape_game', 'events_venue', 'fairground', 'gallery', 'gambling', 'go_karting', 'internet_cafe', 'karaoke_box', 'laser_tag', 'miniature_golf', 'museum', 'music_school', 'music_venue', 'nightclub', 'planetarium', 'pool_hall', 'psychic', 'roller_rink', 'sport', 'sports_centre', 'stadium', 'stripclub', 'theatre', 'theme_park', 'ticket', 'water_park', 'zoo'}",amenity=arts_centre; amenity=casino; amenity=cinema; amenity=circus; amenity=dancing_school; amenity=events_venue; amenity=gambling; amenity=internet_cafe; amenity=karaoke_box; amenity=music_school; amenity=music_venue; amenity=nightclub; amenity=planetarium; amenity=pool_hall; amenity=stripclub; amenity=theatre; club=sport; craft=psychic; landuse=fairground; leisure=amusement_arcade; leisure=bowling_alley; leisure=dance; leisure=disc_golf_course; leisure=escape_game; leisure=go_karting; leisure=laser_tag; leisure=miniature_golf; leisure=roller_rink; leisure=sports_centre; leisure=stadium; leisure=water_park; shop=art; shop=ticket; tourism=aquarium; tourism=artwork; tourism=attraction; tourism=gallery; tourism=museum; tourism=theme_park; tourism=zoo,,parent_union,parent_union,Parent category: union of descendant OSM mappings after category-match corrections.,131,"amenity=cafe (12, 9.2%); building=yes (11, 8.4%); amenity=restaurant (8, 6.1%); amenity=community_centre (7, 5.3%); amenity=theatre (4, 3.1%); amenity=events_venue (4, 3.1%); leisure=escape_game (3, 2.3%); amenity=pub (3, 2.3%)",19.8,19.8,reviewed,
4bf58dd8d48988d182941735,Amusement Park,Arts and Entertainment > Amusement Park,{'tourism'},"{'attraction', 'theme_park'}",tourism=attraction; tourism=theme_park,,parent_union,parent_union,Parent category: union of descendant OSM mappings after category-match corrections.,29,"leisure=park (13, 44.8%); tourism=theme_park (5, 17.2%); building=yes (3, 10.3%); amenity=drinking_water (2, 6.9%); leisure=playground (2, 6.9%); leisure=amusement_arcade (1, 3.4%); amenity=restaurant (1, 3.4%); amenity=pharmacy (1, 3.4%)",17.2,17.2,reviewed,
5109983191d435c0d71c2bb1,Attraction,Arts and Entertainment > Amusement Park > Attraction,{'tourism'},{'attraction'},tourism=attraction,,high,exact_rule,,10,"leisure=park (3, 30.0%); tourism=attraction (3, 30.0%); tourism=artwork (1, 10.0%); tourism=theme_park (1, 10.0%); tourism=museum (1, 10.0%); amenity=bank (1, 10.0%)",30.0,30.0,reviewed,
4fceea171983d5d06c3e9823,Aquarium,Arts and Entertainment > Aquarium,{'tourism'},{'aquarium'},tourism=aquarium,,high,exact_rule,,8,"tourism=aquarium (4, 50.0%); tourism=attraction (2, 25.0%); amenity=events_venue (1, 12.5%); boundary=administrative (1, 12.5%)",50.0,50.0,reviewed,
4bf58dd8d48988d1e1931735,Arcade,Arts and Entertainment > Arcade,{'leisure'},{'amusement_arcade'},leisure=amusement_arcade,,high,exact_rule,,107,"leisure=amusement_arcade (16, 15.0%); amenity=cafe (14, 13.1%); amenity=restaurant (14, 13.1%); amenity=school (9, 8.4%); amenity=internet_cafe (6, 5.6%); shop=video_games (5, 4.7%); amenity=marketplace (5, 4.7%); building=yes (4, 3.7%)",15.0,15.0,reviewed,
4bf58dd8d48988d1e2931735,Art Gallery,Arts and Entertainment > Art Gallery,"{'shop', 'tourism'}","{'art', 'gallery'}",shop=art; tourism=gallery,,high,exact_rule,,159,"tourism=gallery (40, 25.2%); shop=art (20, 12.6%); amenity=arts_centre (20, 12.6%); tourism=museum (9, 5.7%); building=yes (7, 4.4%); shop=furniture (5, 3.1%); shop=gift (5, 3.1%); tourism=artwork (5, 3.1%)",37.7,37.7,reviewed,
63be6904847c3692a84b9b20,Bingo Center,Arts and Entertainment > Bingo Center,{'amenity'},{'gambling'},amenity=gambling,,high,exact_rule,,0,,,,no evidence,
4bf58dd8d48988d1e4931735,Bowling Alley,Arts and Entertainment > Bowling Alley,{'leisure'},{'bowling_alley'},leisure=bowling_alley,,high,exact_rule,,15,"leisure=bowling_alley (7, 46.7%); club=sport (3, 20.0%); amenity=community_centre (1, 6.7%); leisure=sports_centre (1, 6.7%); amenity=licensed_club (1, 6.7%); building=yes (1, 6.7%); amenity=school (1, 6.7%)",46.7,46.7,reviewed,
63be6904847c3692a84b9b21,Carnival,Arts and Entertainment > Carnival,{'landuse'},{'fairground'},landuse=fairground,,high,exact_rule,,0,,,,no evidence,
4bf58dd8d48988d17c941735,Casino,Arts and Entertainment > Casino,{'amenity'},{'casino'},amenity=casino,,high,exact_rule,,16,"amenity=casino (7, 43.8%); shop=bookmaker (2, 12.5%); tourism=hotel (2, 12.5%); shop=lottery (2, 12.5%); amenity=bureau_de_change (1, 6.2%); building=yes (1, 6.2%); building=retail (1, 6.2%)",43.8,43.8,reviewed,
